price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
714900,3,4,2648.0,77006,2021,1525.0,999.0,999.0,1.434509172
449900,3,3,2158.627875809694,77026,2022,2840.0,3.3333333333333335,1.0666666666666667,1.58945009
379000,4,4,2600.0,77051,2022,3475.0,2.6666666666666665,0.5333333333333333,1.205144387
579900,3,3,2245.0,77007,2022,5000.688,5.666666666666667,1.8666666666666665,2.022501251
379000,4,4,2600.0,77051,2022,3475.0,2.6666666666666665,0.5333333333333333,1.205144387
484780,4,3,2449.0,77365,2022,7544.0,7.333333333333333,2.4,0.072682959
238500,3,3,1491.0,77028,2022,2799.0,3.0,1.8333333333333333,1.083280743
369000,3,3,1850.0,77091,2022,3108.0,999.0,999.0,1.228646661
439900,3,3,2087.0,77091,2021,2073.456,2.6666666666666665,1.5333333333333332,1.228646661
437410,3,3,1942.0,77080,2023,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
451480,3,3,2204.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
453820,3,3,2021.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
309900,3,3,1419.0,77009,2022,2500.0,4.333333333333333,1.5999999999999999,1.501534176
349990,4,2,2385.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
309990,4,2,1670.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
303990,3,2,1396.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
485370,4,4,2986.0,77089,2023,7775.7013398033405,6.0,2.1666666666666665,0.858703458
799500,5,4,4680.0,77053,1930,113256.0,3.3333333333333335,1.2,0.581463669
250000,3,2,2388.0,77026,1920,8500.0,3.3333333333333335,1.1,1.58945009
323230,3,3,2172.0,77090,2023,7775.7013398033405,999.0,999.0,0.022631819
316460,3,3,1865.0,77090,2023,7775.7013398033405,999.0,999.0,0.022631819
380000,4,3,2732.0,77365,2022,7775.7013398033405,7.333333333333333,2.1666666666666665,0.072682959
405000,3,2,2517.0,77365,2022,7775.7013398033405,7.333333333333333,2.1666666666666665,0.072682959
399000,3,3,1770.0,77009,2022,1875.0,4.0,0.8333333333333334,1.501534176
341440,4,4,2365.0,77044,2023,8580.0,3.3333333333333335,1.4333333333333333,0.057014776
