Price,Bedrooms,Bathrooms,constructedArea,zipCode,yearBuilt,lotAreaSQFT,avgSchoolRating,avgSchoolDist
420000,3.0,3,1814.0,77092,2022.0,6250.86,2.0,1.4333333333333336
264000,3.0,2,1456.0,77091,1945.0,4356.0,2.333333333333333,0.7000000000000001
750000,2.0,1,1428.0,77019,1900.0,5000.688,999.0,999.0
295000,3.0,2,1721.0,77092,1955.0,8498.556,2.333333333333333,0.6
325000,5.0,2,780.0,77009,1946.0,11251.548,3.0,0.4333333333333333
425000,3.0,2,1680.0,77009,1937.0,6250.86,3.0,0.4333333333333333
410000,3.0,2,1844.0,77009,2022.0,6250.86,4.0,0.4666666666666666
399900,3.0,3,1871.0,77009,2022.0,2500.0,4.0,0.6
250000,2.0,1,1053.0,77009,1945.0,5000.688,4.0,0.5
250000,2.0,1,972.0,77009,1935.0,5000.688,4.0,0.5
355000,3.0,3,2158.627875809694,77009,2022.0,7775.7013398033405,4.0,0.7000000000000001
240000,3.0,1,1080.0,77009,1938.0,5000.688,4.0,0.7666666666666666
330000,3.0,1,1156.0,77009,1950.0,5000.688,4.0,0.7000000000000001
399000,3.0,3,1770.0,77009,2022.0,1875.0,4.0,0.8333333333333334
385000,3.0,3,1589.0,77009,2022.0,2173.644,4.0,0.8666666666666667
387500,3.0,3,2096.0,77009,2019.0,2500.344,4.0,1.0333333333333334
335000,3.0,3,1516.0,77009,1930.0,5009.4,3.0,0.4000000000000001
357770,5.0,3,1782.0,77011,1936.0,4251.456,3.333333333333333,1.0666666666666669
345000,2.0,1,1471.0,77003,1935.0,5797.836,3.6666666666666665,1.8333333333333333
749990,4.0,4,2724.0,77007,2023.0,5000.688,6.333333333333333,1.6
490000,3.0,3,2287.0,77007,1996.0,1694.484,6.333333333333333,1.5666666666666669
849000,3.0,3,2004.0,77009,1920.0,5000.688,5.333333333333333,0.6333333333333333
749000,3.0,3,2112.0,77009,1930.0,5000.688,5.333333333333333,0.6333333333333333
599000,2.0,2,1749.0,77009,1930.0,5000.688,6.333333333333333,0.7666666666666666
299900,2.0,1,864.0,77009,1924.0,5000.688,3.0,0.9333333333333332
599999,4.0,3,1434.0,77009,1920.0,5000.688,5.333333333333333,0.9
525000,2.0,3,1673.0,77009,1935.0,5000.688,5.333333333333333,0.8333333333333334
799000,4.0,3,2900.0,77009,2022.0,3998.808,5.333333333333333,0.7999999999999999
240000,3.0,1,888.0,77009,1981.0,2500.344,5.333333333333333,0.7333333333333334
350000,0.0,0,1032.0,77009,1920.0,5000.688,5.333333333333333,0.7000000000000001
757400,4.0,4,2850.0,77009,2022.0,5000.688,5.333333333333333,0.6333333333333333
342000,2.0,2,1004.0,77009,1930.0,5000.688,5.333333333333333,0.9666666666666668
315000,2.0,1,905.0,77009,1930.0,5000.688,5.333333333333333,1.0
255000,3.0,2,1916.0,77021,1950.0,5150.0,3.6666666666666665,0.8333333333333334
299000,3.0,2,1131.0,77021,1945.0,5150.0,3.6666666666666665,0.8333333333333334
220000,4.0,2,1840.0,77021,1955.0,7723.188,3.6666666666666665,0.8666666666666667
235000,3.0,2,1220.0,77021,1949.0,5148.792,3.6666666666666665,0.9333333333333336
359900,3.0,3,1729.0,77021,2022.0,2500.0,3.6666666666666665,0.9666666666666668
414990,4.0,3,2607.0,77004,1938.0,5000.688,4.0,1.9333333333333331
720000,3.0,2,1760.0,77075,1960.0,40998.672,4.333333333333333,2.9333333333333336
272000,2.0,1,1008.0,77007,1931.0,3698.244,6.333333333333333,1.3999999999999997
484900,3.0,3,2122.0,77018,2021.0,3001.284,4.0,0.5
