zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
27955183,29.69145,-95.24333,234990,3,2,1584,77017,0,0,1,0,1952,1,0,987,3,0.2,6,1.3,2,0.8,1,179990,1463,6899.904
27955410,29.690697,-95.2481,209900,3,1,2160,77017,0,0,1,0,1955,1,0,882,3,0.4,6,1.3,2,0.5,1,161400,2237,6600
27955771,29.692879,-95.251724,214500,3,1,1145,77017,1,0,1,0,1950,1,1,901,3,0.6,6,1.4,2,0.4,1,99500,1549,8232.84
27956105,29.69759,-95.24034,489900,5,5,3300,77017,0,0,1,0,2016,2,0,2058,3,0.2,6,1.7,2,1.1,1,462400,4767,7357.284
27956162,29.695742,-95.24161,239000,3,2,1448,77017,0,0,1,0,1955,1,0,1004,3,0.1,6,1.6,2,1,0,-9500,92,6599.34
27956317,29.794815,-95.4173,815000,3,3,2172,77008,1,0,1,0,2002,2,1,3423,4,0.5,5,1.4,3,1.7,0,-24900,45,7200.468
27956472,29.79038,-95.41605,414700,2,1,1474,77008,1,0,1,1,1951,1,2,1764,4,0.5,5,1.4,3,2,0,-20100,35,8398.368
27956670,29.786892,-95.41645,660000,2,2,1449,77008,1,0,1,1,1952,1,2,2772,4,0.6,5,1.6,3,2.2,1,61000,646,35187.768
27958501,29.855827,-95.54319,369500,4,2,2030,77041,1,0,1,0,2022,1,2,1552,5,3.3,5,5.6,5,4.5,0,-5400,38,8023.752
27958557,29.845913,-95.50985,539000,3,2,1709,77040,0,0,1,0,1962,1,0,2264,3,1.2,5,1.3,5,6.6,0,0,0,27020.268
27958589,29.688875,-95.4383,575000,3,3,3089,77025,1,1,1,0,1950,1,2,2415,5,0.4,6,0.8,6,1.9,0,-115000,1759,15598.836
27958769,29.691607,-95.4278,799995,3,4,2733,77025,1,0,1,0,1951,1,2,3360,5,0.4,6,0.9,6,2.6,1,70995,1243,11325.6
