Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
29.729696,-95.34562,450000,2,1,1120,77004,0,0,1,0,1940,1,0,1890,4,1.0,3,2.7,2,0.7,1,250020,709,10001.376
29.729221,-95.34541,350000,3,2,1250,77004,1,0,1,0,1936,1,2,1470,4,1.0,3,2.6,2,0.7,1,210000,840,5000.688
29.72849,-95.3485,250000,3,2,1427,77004,1,0,1,0,1930,1,2,1050,4,0.8,3,2.5,2,0.5,0,0,0,5000.688
29.728746,-95.348404,250000,2,1,1106,77004,1,0,1,0,1930,1,1,1050,4,0.8,3,2.5,2,0.6,0,0,0,5000.688
29.744026,-95.322365,375000,3,3,1675,77011,1,0,1,0,2022,2,2,1575,5,0.3,4,0.6,2,1.0,1,195000,785,2146.0
29.744072,-95.3225,375000,3,3,1675,77011,1,0,1,0,2022,2,2,1575,5,0.3,4,0.6,2,1.0,1,180000,655,1914.0
29.76869,-95.4011,660000,3,4,2225,77007,1,0,1,0,2019,4,2,2772,8,1.5,6,1.6,5,1.7,0,-1675788,2118,1807.74
29.818434,-95.38754,200000,2,1,648,77022,0,0,1,0,1940,1,0,840,4,0.2,5,1.1,3,0.7,0,-20000,131,5998.212
29.780218,-95.355156,206000,2,2,1032,77009,0,0,1,0,1935,1,0,865,5,0.2,5,0.2,2,0.3,0,0,0,4408.272
29.781853,-95.35115,400000,3,2,1663,77026,0,0,1,0,1950,1,0,1680,5,0.2,5,0.4,2,0.4,0,-100000,404,5000.688
29.784498,-95.35502,399000,3,2,1538,77009,0,0,1,0,1926,1,0,1676,2,0.5,5,0.2,2,0.2,1,204000,1439,5000.688
29.734236,-95.31548,799900,3,1,1315,77023,0,0,1,0,1940,1,0,3360,6,0.5,4,0.6,2,1.0,1,319900,112,22389.84
29.73115,-95.380585,530000,3,2,1904,77004,1,0,1,0,1925,1,1,2226,4,0.2,3,2.7,5,2.9,0,0,9755,5000.688
29.734484,-95.29669,299000,2,1,1290,77011,1,0,1,0,1930,1,2,1256,3,0.2,3,0.5,2,2.2,0,-101000,431,10001.376
29.736208,-95.29556,329000,3,3,1412,77011,1,0,1,0,2022,2,1,1382,3,0.2,3,0.4,2,2.3,1,214000,361,2500.0
29.73314,-95.28152,254000,3,2,1370,77012,1,0,1,0,1936,1,1,1067,7,0.6,3,1.3,3,1.4,1,108501,221,2500.344
29.737083,-95.287674,289000,3,2,2032,77012,0,0,1,0,1940,1,2,1214,7,0.1,3,0.8,3,1.8,1,189000,1226,5000.688
29.740831,-95.2908,225000,3,1,942,77011,0,0,1,0,2020,1,0,945,7,0.2,3,0.6,2,2.6,0,-24000,95,2500.344
29.74346,-95.29619,210000,2,2,1004,77011,1,0,1,0,1930,1,1,882,3,0.3,3,0.3,2,2.3,1,25000,317,5000.688
29.743948,-95.2953,285000,3,2,1346,77011,0,0,1,0,1935,1,0,1197,3,0.3,3,0.3,2,2.4,1,70000,343,3698.244
29.73981,-95.344376,534900,6,2,1992,77003,1,0,1,0,1936,1,1,2247,4,0.6,4,1.2,2,1.0,0,0,0,5100.876
29.739298,-95.39402,745000,3,4,3249,77006,0,0,1,0,1928,2,2,3129,3,4.0,3,4.0,3,6.0,0,-250000,277,5000.688
